type,date,time,boilers,chillers,heatingWh,coolingWh,ventilationWh,heatingOw,coolingOw,ventilationOw,lighting,mhe
Year,0,0,188275.98900000023,657557.387999999,152833.64600000012,507641.0279999998,81112431.59998213,35442.232999999964,153259.45199999967,6398260.200000146,644237.2010000601,1816874.4488999648
January,0,0,71243.38200000006,0.0,59802.38199999996,0.0,6889001.040000069,11440.989999999996,0.0,543413.8799999972,52208.34940000044,146415.23340000154
February,0,0,48284.263999999996,0.0,40786.36899999999,0.0,6222323.520000058,7497.8629999999985,0.0,490825.4399999972,47171.77920000037,132289.89760000128
March,0,0,28616.955000000005,343.4610000000002,23487.529000000002,0.0,6889001.040000069,5129.403000000004,349.183,543413.8799999972,52225.89840000044,146463.81520000155
April,0,0,1240.3690000000006,4966.867999999999,282.687,873.1170000000001,6666775.200000065,957.6740000000002,4163.420000000001,525884.3999999968,50541.19200000042,141739.17600000146
May,0,0,33.736,49192.069000000025,0.0,34809.89500000002,6889001.040000069,33.736,14679.782000000003,543413.8799999972,52225.89840000044,146463.81520000155
June,0,0,0.0,106772.78799999993,0.0,83375.18700000008,6666775.200000065,0.0,23926.26599999998,525884.3999999968,50541.19200000042,141739.17600000146
July,0,0,0.0,174196.57200000007,0.0,139137.696,6889001.040000069,0.0,35874.68800000001,543413.8799999972,52225.89840000044,149290.30220000164
August,0,0,0.0,183249.21500000008,0.0,151849.19799999992,6889001.040000069,0.0,32175.97599999999,543413.8799999972,52225.89840000044,146463.81520000155
September,0,0,5.105,89894.82200000016,0.0,69525.56300000004,6666775.200000065,5.105,20824.393,525884.3999999968,50541.19200000042,141739.17600000146
October,0,0,225.783,35909.204,0.0,22392.876999999986,6889001.040000069,225.78099999999998,13778.844000000006,543413.8799999972,52225.89840000044,149290.30220000164
November,0,0,6689.837999999999,10619.751000000007,3464.4369999999994,5677.495,6666775.200000065,3225.382999999999,5034.059000000002,525884.3999999968,64979.00499999948,184443.4577000016
December,0,0,31936.556999999993,2412.6380000000004,25010.24199999999,0.0,6889001.040000069,6926.2980000000025,2452.840999999998,543413.8799999972,67124.99939999945,190536.28220000173
Spring,0,0,1905.7539999999992,134394.78600000002,282.687,98676.291,20667003.120000288,1623.0549999999992,36477.950000000004,1630241.6400000248,156677.69520000197,439391.44560000725
Summer,0,0,14823.45500000001,522994.6129999996,8869.479000000003,408964.7369999993,40889554.55999766,5953.9400000000005,116610.71599999978,3225424.3200000655,334532.0145999948,947588.7238999658
Autumn,0,0,14704.704000000009,70954.10400000005,8869.479000000003,45039.58099999996,20000325.600000277,5835.189000000001,26421.332000000013,1577653.2000000235,175688.26900000533,499222.444700011
Winter,0,0,52137.303000000036,262.9879999999999,43092.72900000001,0.0,6666775.200000065,9044.554,267.36699999999996,525884.3999999968,55813.41299999962,157337.49500000122
